p1,Lp1,race_cat,year_cat
0.4945943215115691,1,All,'13-'14
0.49449328079215926,1,All,'13-'14
0.4943922400727493,1,All,'13-'14
0.49429119935333943,1,All,'13-'14
0.49419015863392945,1,All,'13-'14
0.4940891179145196,1,All,'13-'14
0.4939880771951096,1,All,'13-'14
0.49388703647569976,1,All,'13-'14
0.4937859957562898,1,All,'13-'14
0.4936849550368798,1,All,'13-'14
0.49358391431746995,1,All,'13-'14
0.49348287359806,1,All,'13-'14
0.4933818328786501,1,All,'13-'14
0.49328079215924014,1,All,'13-'14
0.4931797514398303,1,All,'13-'14
0.4930787107204203,1,All,'13-'14
0.49297767000101045,1,All,'13-'14
0.4928766292816005,1,All,'13-'14
0.4927755885621906,1,All,'13-'14
0.49267454784278064,1,All,'13-'14
0.49257350712337067,1,All,'13-'14
0.4924724664039608,1,All,'13-'14
0.49237142568455083,1,All,'13-'14
0.492270384965141,1,All,'13-'14
0.492169344245731,1,All,'13-'14
0.49206830352632114,1,All,'13-'14
0.49196726280691117,1,All,'13-'14
0.4918662220875013,1,All,'13-'14
0.49176518136809133,1,All,'13-'14
0.49166414064868147,1,All,'13-'14
0.4915630999292715,1,All,'13-'14
0.4914620592098615,1,All,'13-'14
0.49136101849045166,1,All,'13-'14
0.4912599777710417,1,All,'13-'14
0.4911589370516318,1,All,'13-'14
0.49105789633222185,1,All,'13-'14
0.490956855612812,1,All,'13-'14
0.490855814893402,1,All,'13-'14
0.49075477417399216,1,All,'13-'14
0.4906537334545822,1,All,'13-'14
0.4905526927351723,1,All,'13-'14
0.49045165201576235,1,All,'13-'14
0.4903506112963524,1,All,'13-'14
0.4902495705769425,1,All,'13-'14
0.49014852985753254,1,All,'13-'14
0.4900474891381227,1,All,'13-'14
0.4899464484187127,1,All,'13-'14
0.48984540769930285,1,All,'13-'14
0.4897443669798929,1,All,'13-'14
0.489643326260483,1,All,'13-'14
0.48954228554107304,1,All,'13-'14
0.4894412448216632,1,All,'13-'14
0.4893402041022532,1,All,'13-'14
0.48923916338284323,1,All,'13-'14
0.4891381226634334,1,All,'13-'14
0.4890370819440234,1,All,'13-'14
0.48893604122461354,1,All,'13-'14
0.48883500050520357,1,All,'13-'14
0.4887339597857937,1,All,'13-'14
0.48863291906638373,1,All,'13-'14
0.48853187834697387,1,All,'13-'14
0.4884308376275639,1,All,'13-'14
0.48832979690815403,1,All,'13-'14
0.48822875618874406,1,All,'13-'14
0.4881277154693341,1,All,'13-'14
0.4880266747499242,1,All,'13-'14
0.48792563403051425,1,All,'13-'14
0.4878245933111044,1,All,'13-'14
0.4877235525916944,1,All,'13-'14
0.48762251187228456,1,All,'13-'14
0.4875214711528746,1,All,'13-'14
0.4874204304334647,1,All,'13-'14
0.48731938971405475,1,All,'13-'14
0.4872183489946449,1,All,'13-'14
0.4871173082752349,1,All,'13-'14
0.48701626755582494,1,All,'13-'14
0.4869152268364151,1,All,'13-'14
0.4868141861170051,1,All,'13-'14
0.48671314539759525,1,All,'13-'14
0.4866121046781853,1,All,'13-'14
0.4865110639587754,1,All,'13-'14
0.48641002323936544,1,All,'13-'14
0.4863089825199556,1,All,'13-'14
0.4862079418005456,1,All,'13-'14
0.48610690108113574,1,All,'13-'14
0.48600586036172577,1,All,'13-'14
0.4859048196423158,1,All,'13-'14
0.48580377892290594,1,All,'13-'14
0.48570273820349597,1,All,'13-'14
0.4856016974840861,1,All,'13-'14
0.48550065676467613,1,All,'13-'14
0.48539961604526627,1,All,'13-'14
0.4852985753258563,1,All,'13-'14
0.48519753460644643,1,All,'13-'14
0.48509649388703646,1,All,'13-'14
0.4849954531676266,1,All,'13-'14
0.4848944124482166,1,All,'13-'14
0.48479337172880665,1,All,'13-'14
0.4846923310093968,1,All,'13-'14
0.4845912902899868,1,All,'13-'14
0.48449024957057696,1,All,'13-'14
0.484389208851167,1,All,'13-'14
0.4842881681317571,1,All,'13-'14
0.48418712741234715,1,All,'13-'14
0.4840860866929373,1,All,'13-'14
0.4839850459735273,1,All,'13-'14
0.48388400525411746,1,All,'13-'14
0.4837829645347075,1,All,'13-'14
0.4836819238152975,1,All,'13-'14
0.48358088309588765,1,All,'13-'14
0.4834798423764777,1,All,'13-'14
0.4833788016570678,1,All,'13-'14
0.48327776093765784,1,All,'13-'14
0.483176720218248,1,All,'13-'14
0.483075679498838,1,All,'13-'14
